Adasevci,Ada[evci,Адаевци
Adrani,Adrani,Адрани
Adrovac,Adrovac,Адровац
Aerodrom,Aerodrom,Аеродром
Aleksa Santic,Aleksa Šantić,Алекса Шантић
Aleksandrovo Pred.,Aleksandrovo Pred.,Александрово Пред
Aleksinac,Aleksinac,Алексинац
Alibunar,Alibunar,Алибунар
Apatin,Apatin,Апатин
Apatin Fabrika,Apatin Fabrika,Апатин Фабрика
Babin Potok,Babin Potok,Бабин Поток
Babljak,Babljak,Бабљак
Bac,Bač,Бач
Bacinci,Bačinci,Бачинци
Backa Palanka,Bačka Palanka,Бачка Паланка
Backa Topola,Bačka Topola,Бачка Топола
Backi Jarak,Backi Jarak,Бацки Јарак
Backi Maglic,Bački Maglić,Бачки Маглић
Backi Vinogradi,Bački Vinogradi,Бачки Виногради
Backo Gradiste,Bačko Gradište,Бачко Градиште
Badnjevac,Badnjevac,Бадњевац
Bagrdan,Bagrdan,Багрдан
Bajmok,Bajmok,Бајмок
Baluga,Baluga,Балуга
Ban.milosevo Polje,Ban.miloševo Polje,Банмилошево Поље
Banatski Despotovac,Banatski Despotovac,Банатски Деспотовац
Banatski Karlovac,Banatski Karlovac,Банатски Карловац
Banatsko Arandjelov,Banatsko Arandjelov,Банатско Арандјелов
Banatsko Milosevo,Banatsko Miloševo,Банатско Милошево
Banatsko Novo Selo,Banatsko Novo Selo,Банатско Ново Село
Banatsko Plandiste,Banatsko Plandište,Банатско Пландиште
Banatsko Veliko Sel,Banatsko Veliko Sel,Банатско Велико Сел
Banjica,Banjica,Бањица
Banjska,Banjska,Бањска
Bar,Bar,Бар
Barajevo,Barajevo,Барајево
Barajevo Centar,Barajevo Centar,Барајево Центар
Bare-kasidol,Bare-kasidol,Барекасидол
Barlovo,Barlovo,Барлово
Batajnica,Batajnica,Батајница
Batocina,Batočina,Баточина
Becej,Bečej,Бечеј
Becej Predgradje,Bečej Predgradje,Бечеј Предградје
Bela Crkva,Bela Crkva,Бела Црква
Bela Palanka,Bela Palanka,Бела Паланка
Bela Reka,Bela Reka,Бела Река
Belacevac,Belaćevac,Белаћевац
Belanovac,Belanovac,Белановац
Beli Potok,Beli Potok,Бели Поток
Beloljin,Beloljin,Белољин
Belotince,Belotince,Белотинце
Beograd Centar,Beograd Centar,Београд Центар
Beska,Beška,Бешка
Bijeljina,Bijeljina,Бијељина
Bijelo Polje,Bijelo Polje,Бијело Поље
Bijelo Polje Grani.,Bijelo Polje Grani.,Бијело Поље Грани
Bikovo,Bikovo,Биково
Bioce,Bioče,Биоче
Bistrica Na Limu,Bistrica Na Limu,Бистрица На Лиму
Blagojev Kamen,Blagojev Kamen,Благојев Камен
Bocar,Boćar,Боћар
Bogaras,Bogaraš,Богараш
Bogicevici,Bogićevici,Богићевици
Bogojevo,Bogojevo,Богојево
Bogojevo Granica,Bogojevo Granica,Богојево Граница
Bogojevo Selo,Bogojevo Selo,Богојево Село
